smiles,class_label,pPot_diff,target_pair,cid
C#Cc1cccc2nc(C(C)NC(=O)c3c(N)nn4cccnc34)n(-c3ccc(F)c(F)c3)c(=O)c12,0,0.15000000000000036,P42336_P48736,122
COc1ccc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C(C)=O)CC5)c4)c3c2)cn1,0,0.45999999999999996,P42336_P48736,1110
CC(C)C(=O)CN1c2nc(N3CCOCC3C)cc(=O)n2CCC1C(F)(F)F,0,0.02999999999999936,P42336_P48736,1696
CC(C)c1cc(C(C)C)c(S(=O)(=O)N2CCN(Cn3cc4c(=O)oc5ccccc5c4n3)CC2)c(C(C)C)c1,0,0.41999999999999993,P42336_P48736,123
O=C(CC1CCCN1)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,0,0.4500000000000002,P42336_P48736,124
O=C(NO)c1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,0,0.96,P42336_P48736,128
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)OC)cc4)cc3)nc21,0,0.5599999999999996,P42336_P48736,1697
CS(=O)(=O)c1ccc(-c2nc(N3CCOCC3)c3[nH]cnc3n2)cc1,0,0.5199999999999996,P42336_P48736,1698
O=c1cc(N2CCOCC2)oc2c(-c3ccc(C(F)(F)F)cc3)csc12,0,0.16999999999999993,P42336_P48736,129
CC(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,0,0.5,P42336_P48736,1699
CC(NC(=O)c1cncc2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,0,0.1900000000000004,P42336_P48736,131
CC(C)n1ncnc1-c1nc2c(s1)CCOc1ccccc1-2,0,0.8699999999999992,P42336_P48736,132
Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(-n4cccn4)cc3)s2)no1,0,0.8300000000000001,P42336_P48736,1121
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,2,2.1999999999999993,P42336_P48736,1122
COc1ncc(-c2cc3c(c(OCCN4CCC(C(C)(C)O)CC4)c2)COC3)cc1NS(C)(=O)=O,0,0.9000000000000004,P42336_P48736,133
CC(Nc1ncnc(N)c1C#Cc1cccc(N)n1)c1nc2cccc(Cl)c2c(=O)n1-c1cc(F)cc(F)c1,0,0.0,P42336_P48736,1700
CC(c1cc(C(=O)N2CCCC2)cc2c(=O)cc(N3CCOCC3)oc12)N(C)c1cc(F)cc(F)c1,0,0.4800000000000004,P42336_P48736,134
O=c1cc(N2CCOCC2)nc2n(Cc3cccc4ccccc34)ccn12,0,0.71,P42336_P48736,1701
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C=Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,0,0.15000000000000036,P42336_P48736,136
